Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
KNN,0.7611940298507462,0.547979797979798,0.5802139037433155,0.5636363636363636,0.779444119458925
Decision Tree,0.7306325515280739,0.493368700265252,0.49732620320855614,0.49533954727030627,0.6564546438129947
Random Forest,0.7874911158493249,0.6306620209059234,0.4839572192513369,0.5476550680786687,0.8136612120867004
SVM,0.7917555081734187,0.6401384083044983,0.4946524064171123,0.5580693815987934,0.7885526295354892
